timestep,mkt_C_el,mkt_C_fuel,mkt_C_el1
1083,18.26,20,18.26
1084,0.02,20,0.02
1085,20.41,20,20.41
1086,10.99,20,10.99
1087,0.08,20,0.08
1088,39.29,20,39.29
1089,27.97,20,27.97
1090,9.63,20,9.63
1091,23.08,20,23.08
1092,19.33,20,19.33
1093,21.41,20,21.41
1094,16.67,20,16.67
1095,16.61,20,16.61
1096,10.11,20,10.11
1097,20.48,20,20.48
1098,37.94,20,37.94
1099,4.91,20,4.91
1100,10.85,20,10.85
1101,9.09,20,9.09
1102,19.17,20,19.17
1103,27.73,20,27.73
1104,21.54,20,21.54
1105,4.12,20,4.12
1106,21.89,20,21.89
1107,34.38,20,34.38
1108,8.91,20,8.91
1109,-3.77,20,-3.77
1110,13.37,20,13.37
1111,16.07,20,16.07
1112,16.81,20,16.81
1113,42.03,20,42.03
1114,5.29,20,5.29
1115,-0.69,20,-0.69
1116,0.05,20,0.05
1117,10.48,20,10.48
1118,29.75,20,29.75
1119,27.34,20,27.34
1120,-0.06,20,-0.06
1121,11.38,20,11.38
1122,13.34,20,13.34
1123,0.1,20,0.1
1124,0.04,20,0.04
1125,33.12,20,33.12
1126,40.15,20,40.15
1127,11.2,20,11.2
1128,17.86,20,17.86
1129,82.04,20,82.04
1130,47.19,20,47.19
1131,31.23,20,31.23
1132,48.33,20,48.33
1133,32.14,20,32.14
1134,40.99,20,40.99
1135,31.68,20,31.68
1136,17.52,20,17.52
1137,26.47,20,26.47
1138,49.64,20,49.64
1139,25.5,20,25.5
1140,31.24,20,31.24
1141,24.23,20,24.23
1142,23.33,20,23.33
1143,71.74,20,71.74
1144,35.01,20,35.01
1145,37.25,20,37.25
